iter	RMSE
0	1.706351207
1	1.275690191
2	0.9694022021
3	0.7520570126
4	0.609730304
5	0.5294796023
6	0.4657626791
7	0.4252448422
8	0.3983807898
9	0.3842123827
10	0.3694200241
11	0.3633047267
12	0.3547062854
13	0.3488532214
14	0.3437360113
15	0.3423312499
16	0.3399380215
17	0.3372858177
18	0.3322559708
19	0.330329495
20	0.3295931565
21	0.3251595013
22	0.3241732718
23	0.3230721705
24	0.3230369467
25	0.31756202
26	0.3174606606
27	0.3174058456
28	0.317332736
29	0.3163307351
30	0.3148271717
31	0.3147451993
32	0.3116510817
33	0.3109626054
34	0.3081068509
35	0.3044196339
36	0.3030908622
37	0.3030762853
38	0.3026925677
39	0.3010848231
40	0.2979683327
41	0.2975885694
42	0.2975560905
43	0.2972209543
44	0.2957681443
45	0.295024307
46	0.2948766287
47	0.2920779729
48	0.2915344023
49	0.2898359665
50	0.2898035748
51	0.289795709
52	0.2867091442
53	0.2866948562
54	0.2866491113
55	0.2847549204
56	0.284746629
57	0.2834584335
58	0.2814435345
59	0.2814137038
60	0.2811889042
61	0.2809342415
62	0.2805928058
63	0.2805145677
64	0.2800368215
65	0.2789781725
66	0.2789487863
67	0.2789309299
68	0.2789255245
69	0.2766923687
70	0.275035707
71	0.275027193
72	0.2728844405
73	0.2728630762
74	0.2728477416
75	0.2728294196
76	0.2722838669
77	0.2722744694
78	0.2700017506
79	0.2699801588
80	0.2699602787
81	0.2694887374
82	0.26947094
83	0.2694472064
84	0.2693267245
85	0.2680861083
86	0.2680269056
87	0.2680056302
88	0.2668926335
89	0.2668916307
90	0.2664171967
91	0.2663432054
92	0.2647308613
93	0.2644175791
94	0.2630204693
95	0.2612977534
96	0.2607863728
97	0.2598290038
98	0.2598207655
99	0.2598146904
100	0.2588973685
101	0.2588963417
102	0.2578334787
103	0.2578319786
104	0.2578207379
105	0.257554648
106	0.2574514022
107	0.2574501908
108	0.256332201
109	0.2560909104
110	0.256088322
111	0.2560865324
112	0.2560695843
113	0.2560674003
114	0.2559986637
115	0.2551849759
116	0.2551841552
117	0.2542305703
118	0.2538456273
119	0.2515643671
120	0.2515620481
121	0.2514797641
122	0.251355529
123	0.2513309764
124	0.2513272493
125	0.2512928264
126	0.2508551131
127	0.2508503645
128	0.2504137946
129	0.2501329101
130	0.2500780437
131	0.2500631347
132	0.2498714807
133	0.2496896696
134	0.2493859576
135	0.2486558367
136	0.2486534875
137	0.2486531584
138	0.2486525395
139	0.2482321099
140	0.2482258396
141	0.2477757965
142	0.2477277758
143	0.2477275084
144	0.2476946082
145	0.2476943212
146	0.2476917197
147	0.2476908783
148	0.2476664292
149	0.2476594293
150	0.2472666384
151	0.2472632479
152	0.2472579087
153	0.2464664111
154	0.2464569384
155	0.2464547444
156	0.2455549857
157	0.2455520906
158	0.2455518759
159	0.2455509945
160	0.2455484982
161	0.2431112602
162	0.2424234226
163	0.2420430053
