iter	Passed	Remaining
0	75	75840
1	89	44487
2	102	34185
3	120	29989
4	133	26552
5	147	24504
6	160	22774
7	172	21451
8	186	20545
9	200	19820
10	213	19222
11	227	18717
12	239	18200
13	253	17862
14	266	17470
15	291	17918
16	304	17633
17	319	17436
18	334	17281
19	347	17025
20	363	16948
21	377	16761
22	388	16522
23	401	16319
24	413	16125
25	427	16007
26	434	15662
27	446	15514
28	459	15390
29	471	15250
30	484	15140
31	503	15238
32	520	15263
33	534	15198
34	549	15137
35	562	15061
36	575	14966
37	585	14834
38	607	14959
39	746	17908
40	799	18692
41	818	18668
42	834	18565
43	849	18452
44	862	18294
45	873	18108
46	896	18179
47	921	18282
48	947	18393
49	967	18391
50	988	18402
51	1000	18240
52	1022	18265
53	1033	18109
54	1048	18008
55	1061	17890
56	1074	17782
57	1095	17791
58	1139	18168
59	1156	18125
60	1172	18046
61	1186	17950
62	1201	17872
63	1212	17735
64	1226	17644
65	1238	17532
66	1269	17677
67	1280	17557
68	1292	17439
69	1312	17432
70	1334	17466
71	1359	17520
72	1384	17586
73	1408	17625
74	1444	17809
75	1459	17747
76	1476	17700
77	1492	17644
78	1509	17596
79	1524	17532
80	1540	17473
81	1559	17463
82	1601	17690
83	1615	17614
84	1629	17538
85	1644	17479
86	1659	17411
87	1672	17336
88	1687	17272
89	1698	17173
90	1726	17241
91	1744	17222
92	1780	17362
93	1793	17291
94	1809	17235
95	1823	17168
96	1836	17094
97	1848	17016
98	1860	16930
99	1872	16854
100	1886	16790
101	1893	16671
102	1906	16606
103	1915	16500
104	1931	16461
105	1950	16454
106	1969	16441
107	1993	16462
108	2007	16406
109	2021	16358
110	2037	16314
111	2048	16240
112	2061	16182
113	2078	16154
114	2101	16170
115	2117	16139
116	2129	16074
117	2143	16020
118	2156	15965
119	2169	15909
120	2181	15844
121	2203	15858
122	2218	15821
123	2234	15789
124	2248	15742
125	2260	15680
126	2273	15625
127	2284	15562
128	2297	15513
129	2309	15459
130	2321	15396
131	2333	15341
132	2345	15288
133	2358	15240
134	2369	15182
135	2382	15136
136	2394	15082
137	2401	14999
138	2427	15035
139	2441	14998
140	2454	14952
141	2466	14902
142	2479	14862
143	2488	14793
144	2500	14742
145	2511	14690
146	2523	14641
147	2535	14596
148	2546	14544
149	2559	14501
150	2570	14454
151	2582	14405
152	2593	14357
153	2613	14356
154	2627	14322
155	2640	14286
156	2655	14258
157	2667	14213
158	2673	14142
159	2685	14100
160	2696	14052
161	2709	14014
162	2722	13978
163	2735	13942
164	2747	13906
165	2758	13860
166	2770	13821
167	2783	13786
168	2797	13756
169	2808	13713
170	2826	13704
171	2841	13677
172	2856	13656
173	2870	13626
174	2881	13584
175	2894	13550
176	2906	13515
177	2919	13481
178	2930	13442
179	2941	13400
180	2953	13362
181	2964	13324
182	2975	13286
183	2986	13245
184	2998	13207
185	3009	13171
186	3021	13135
187	3039	13127
188	3051	13094
189	3062	13056
190	3076	13031
191	3089	12999
192	3104	12980
193	3117	12950
194	3129	12920
195	3143	12893
196	3149	12837
197	3311	13414
198	3442	13855
199	3507	14031
200	3524	14010
201	3538	13980
202	3550	13940
203	3563	13903
204	3574	13861
205	3585	13820
206	3593	13765
207	3600	13711
208	3612	13671
209	3623	13629
210	3634	13589
211	3645	13548
212	3656	13510
213	3668	13472
214	3678	13432
215	3696	13417
216	3723	13433
217	3741	13420
218	3754	13388
219	3768	13360
220	3780	13324
221	3792	13291
222	3805	13259
223	3818	13227
224	3837	13218
225	3861	13225
226	3875	13198
227	3887	13164
228	3899	13128
229	3911	13096
230	3923	13061
231	3936	13029
232	3953	13013
233	3965	12979
234	3977	12948
235	3988	12912
236	4002	12884
237	4014	12852
238	4026	12821
239	4039	12790
240	4051	12760
241	4063	12727
242	4076	12697
243	4087	12665
244	4099	12633
245	4111	12601
246	4123	12571
247	4135	12539
248	4146	12507
249	4163	12490
250	4174	12457
251	4186	12426
252	4198	12396
253	4210	12365
254	4222	12337
255	4234	12307
256	4246	12278
257	4258	12248
258	4270	12216
259	4281	12185
260	4293	12156
261	4305	12126
262	4318	12100
263	4329	12070
264	4342	12043
265	4354	12015
266	4370	11997
267	4381	11967
268	4393	11938
269	4404	11907
270	4416	11881
271	4427	11850
272	4439	11823
273	4451	11795
274	4464	11768
275	4476	11742
276	4488	11716
277	4501	11690
278	4512	11660
279	4527	11641
280	4539	11615
281	4551	11588
282	4565	11566
283	4580	11548
284	4592	11522
285	4604	11494
286	4616	11468
287	4629	11444
288	4634	11402
289	4647	11378
290	4658	11350
291	4671	11325
292	4679	11290
293	4690	11263
294	4702	11239
295	4713	11211
296	4726	11186
297	4748	11186
298	4770	11183
299	4818	11244
300	4837	11234
301	4851	11212
302	4863	11187
303	4892	11200
304	4904	11175
305	4919	11157
306	4934	11139
307	4946	11114
308	4958	11089
309	4970	11063
310	4983	11040
311	4996	11017
312	5009	10994
313	5026	10981
314	5037	10954
315	5048	10928
316	5061	10905
317	5074	10882
318	5085	10857
319	5097	10831
320	5108	10806
321	5121	10783
322	5133	10760
323	5150	10746
324	5198	10796
325	5223	10799
326	5239	10783
327	5251	10758
328	5263	10734
329	5275	10710
330	5286	10685
331	5298	10659
332	5309	10635
333	5322	10612
334	5333	10588
335	5347	10567
336	5358	10542
337	5371	10520
338	5392	10515
339	5403	10489
340	5415	10464
341	5426	10440
342	5444	10428
343	5457	10407
344	5468	10382
345	5482	10362
346	5487	10326
347	5498	10300
348	5509	10276
349	5521	10253
350	5535	10234
351	5540	10200
352	5551	10175
353	5562	10149
354	5574	10127
355	5584	10102
356	5595	10078
357	5606	10054
358	5616	10028
359	5628	10005
360	5639	9982
361	5653	9963
362	5666	9944
363	5678	9922
364	5690	9899
365	5711	9894
366	5730	9884
367	5750	9875
368	5766	9861
369	5778	9839
370	5790	9816
371	5803	9797
372	5815	9775
373	5830	9758
374	5845	9742
375	5858	9721
376	5870	9700
377	5883	9681
378	5895	9660
379	5907	9639
380	5920	9618
381	5945	9618
382	5964	9609
383	5984	9599
384	6002	9587
385	6013	9565
386	6025	9544
387	6038	9524
388	6052	9507
389	6065	9487
390	6077	9466
391	6089	9445
392	6101	9424
393	6115	9405
394	6127	9384
395	6140	9365
396	6152	9344
397	6165	9325
398	6179	9307
399	6193	9289
400	6204	9268
401	6216	9246
402	6228	9226
403	6240	9206
404	6257	9192
405	6268	9171
406	6282	9153
407	6295	9134
408	6308	9115
409	6319	9093
410	6330	9072
411	6343	9053
